,YEAR WON,SPORT,LEVEL,GENDER,DIVISION,WINNER
237,1963-64,Track and Field,Jr. Varsity,Girls,None,Viscount Bennett
238,1963-64,Track and Field,Sr. Varsity,Boys,None,St. Mary's
239,1963-64,Track and Field,Sr. Varsity,Girls,None,Queen Elizabeth
240,1963-64,Volleyball,Jr. Varsity,Girls,Div I,James Fowler
241,1963-64,Volleyball,Sr. Varsity,Girls,Div I,Western Canada
242,1964-65,Basketball,Jr. Varsity,Boys,Div I,William Aberhart
243,1964-65,Basketball,Jr. Varsity,Girls,Div I,St. Francis
244,1964-65,Basketball,Sr. Varsity,Boys,Div I,Western Canada
245,1964-65,Basketball,Sr. Varsity,Girls,Div I,Viscount Bennett
246,1964-65,Diving,Grand Aggregate,Coed,None,William Aberhart
247,1964-65,Football,Jr. Varsity,Boys,Div I,Henry Wise Wood
248,1964-65,Football,Sr. Varsity,Boys,Div I,Crescent Heights
249,1964-65,Soccer,Varsity,Boys,Div I,Not Awarded
250,1964-65,Swimming,Grand Aggregate,Coed,None,James Fowler
251,1964-65,Track and Field,Jr. Varsity,Boys,None,Viscount Bennett
252,1964-65,Track and Field,Jr. Varsity,Girls,None,Queen Elizabeth
253,1964-65,Track and Field,Sr. Varsity,Boys,None,St. Mary's
254,1964-65,Track and Field,Sr. Varsity,Girls,None,Viscount Bennett
255,1964-65,Volleyball,Jr. Varsity,Girls,Div I,James Fowler
256,1964-65,Volleyball,Sr. Varsity,Girls,Div I,Henry Wise Wood
257,1965-66,Basketball,Jr. Varsity,Boys,Div I,Western Canada
258,1965-66,Basketball,Jr. Varsity,Girls,Div I,St. Francis
259,1965-66,Basketball,Sr. Varsity,Boys,Div I,Ernest Manning
260,1965-66,Basketball,Sr. Varsity,Girls,Div I,Henry Wise Wood
261,1965-66,Diving,Grand Aggregate,Coed,None,James Fowler
262,1965-66,Football,Jr. Varsity,Boys,Div I,Henry Wise Wood
263,1965-66,Football,Sr. Varsity,Boys,Div I,Queen Elizabeth
264,1965-66,Soccer,Varsity,Boys,Div I,Not Awarded
265,1965-66,Swimming,Grand Aggregate,Coed,None,Crescent Heights
266,1965-66,Track and Field,Jr. Varsity,Boys,None,Viscount Bennett
267,1965-66,Track and Field,Jr. Varsity,Girls,None,William Aberhart
268,1965-66,Track and Field,Sr. Varsity,Boys,None,Western Canada
269,1965-66,Track and Field,Sr. Varsity,Girls,None,Viscount Bennett
270,1965-66,Volleyball,Jr. Varsity,Girls,Div I,St. Francis
271,1965-66,Volleyball,Sr. Varsity,Girls,Div I,James Fowler
272,1966-67,Basketball,Jr. Varsity,Boys,Div I,Bishop Grandin
273,1966-67,Basketball,Jr. Varsity,Girls,Div I,Ernest Manning
274,1966-67,Basketball,Sr. Varsity,Boys,Div I,St. Francis
275,1966-67,Basketball,Sr. Varsity,Girls,Div I,Viscount Bennett
276,1966-67,Diving,Grand Aggregate,Coed,None,Henry Wise Wood
277,1966-67,Football,Jr. Varsity,Boys,Div I,Viscount Bennett
278,1966-67,Football,Sr. Varsity,Boys,Div I,Queen Elizabeth
279,1966-67,Soccer,Varsity,Boys,Div I,Not Awarded
280,1966-67,Swimming,Grand Aggregate,Coed,None,Not Awarded
281,1966-67,Track and Field,Jr. Varsity,Boys,None,Western Canada
282,1966-67,Track and Field,Jr. Varsity,Girls,None,William Aberhart
283,1966-67,Track and Field,Sr. Varsity,Boys,None,Western Canada
284,1966-67,Track and Field,Sr. Varsity,Girls,None,Viscount Bennett
285,1966-67,Volleyball,Jr. Varsity,Girls,Div I,Viscount Bennett
286,1966-67,Volleyball,Sr. Varsity,Girls,Div I,Viscount Bennett
287,1967-68,Basketball,Jr. Varsity,Boys,Div I,Crescent Heights
288,1967-68,Basketball,Jr. Varsity,Girls,Div I,St. Mary's
289,1967-68,Basketball,Sr. Varsity,Boys,Div I,St. Francis
290,1967-68,Basketball,Sr. Varsity,Girls,Div I,Crescent Heights
291,1967-68,Diving,Grand Aggregate,Coed,None,Henry Wise Wood
292,1967-68,Football,Jr. Varsity,Boys,Div I,James Fowler
293,1967-68,Football,Sr. Varsity,Boys,Div I,Viscount Bennett
294,1967-68,Football,Sr. Varsity,Boys,Div II,Bishop Grandin
295,1967-68,Soccer,Varsity,Boys,Div I,Not Awarded
296,1967-68,Swimming,Grand Aggregate,Coed,None,William Aberhart
297,1967-68,Track and Field,Jr. Varsity,Boys,None,Western Canada
298,1967-68,Track and Field,Jr. Varsity,Girls,None,Western Canada
299,1967-68,Track and Field,Sr. Varsity,Boys,None,Henry Wise Wood
